date,high,low,open,volume,sma_5,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_7,rsi_14,rsi_20,ret_1,ret_5,ret_10,ret_20,ret_mean_5,ret_mean_20,ret_median_20,ret_skew_20,ret_kurt_20,vol_10,vol_20,vol_50,vol_ratio,atr_14,ema_12_slope,ema_26_slope,sma_5_slope,sma_20_slope,sma_50_slope,sma_100_slope,sma_200_slope,macd,macd_signal,macd_hist,vol_z,vol_pct,vol_atr_ratio,trend_regime,volume_regime,momentum_regime
2015-09-23,195.83999633789062,193.27999877929688,194.72000122070312,129819.0,196.16000061035157,201.63199996948242,209.34399993896486,213.8847999572754,223.1720001220703,199.36332532798727,202.96640322411216,29.45231909312679,36.860705407919674,39.54522044107094,0.0008251014006817048,-0.038064992490476346,-0.0334661410287479,-0.05011748789199599,-0.0077058146088113235,-0.0024516283184889574,-0.024062820857912393,0.5750301519201807,-0.5719756419954161,0.013491729920559026,0.015643363117348753,0.01685748263802127,0.8003407276320756,4.788572038922991,-0.004795254736101318,-0.00349038433795823,-0.007769497318080298,-0.0025328492264911073,-0.002257197937561184,-0.001180549272326803,-0.002577890932729976,-3.603077896124887,-2.913308846252269,-0.6897690498726181,-0.918723846138235,0.03758931345138242,27110.16957556263,0,0,0
2015-09-24,196.8000030517578,190.55999755859375,193.60000610351562,225763.0,195.26399841308594,201.26399993896484,208.81279998779297,213.62559997558594,222.67680015563965,198.91973615868756,202.48592859473638,40.01543485903325,40.954833248453255,42.12580534021261,0.012366003059777197,-0.022293047555013712,-0.029249003693019082,-0.0361067540354123,-0.0044396046642335655,-0.0017158626777550757,-0.024062820857912393,0.4314168580171842,-0.8837218070582389,0.013963854479437054,0.015990632277113392,0.016558749528476926,0.8432916057714805,4.6971435546875,-0.0022250289443653815,-0.0023672618805056223,-0.004567711024050403,-0.0018251072774820853,-0.002537450088499149,-0.001211867237602804,-0.0022189161998806828,-3.566192436048823,-3.0438855642115796,-0.5223068718372432,-0.5406689200302012,0.17924821373097236,48063.891889082355,0,0,0
2015-09-25,194.24000549316406,191.1999969482422,194.0800018310547,374819.0,194.46399841308593,200.81599960327148,208.2816000366211,213.35199996948242,222.1608000946045,198.05208425416592,201.8040078676668,32.45598334380266,37.46641960075279,39.7446795909302,-0.016286629773138106,-0.020275750328217157,-0.05254902559168195,-0.044303829462514766,-0.004034502462387235,-0.002137731726883091,-0.024062820857912393,0.45716643775527604,-0.9633100369062043,0.01398400500191344,0.01626982264721058,0.016589555233863802,0.8429403202665902,4.7085723876953125,-0.004361819099887976,-0.0033677437825044843,-0.004097017404650294,-0.0022259337776712185,-0.00254390512077296,-0.0012807454075485225,-0.002317260085803685,-3.751923613500878,-3.1854931740694394,-0.5664304394314388,0.1319884815715317,0.3703013358185772,79603.5335422466,0,0,0
2015-09-28,199.52000427246094,194.72000122070312,199.52000427246094,271044.0,194.81600036621094,200.34400024414063,207.77280029296875,213.12800003051757,221.63360008239746,197.7856108803279,201.39778560518914,44.149871850593286,42.47897679778984,42.96835740163063,0.01572852113059664,0.00904610293847763,-0.05832688340617631,-0.04587863255557956,0.0018687050459032183,-0.002221556095111793,-0.024062820857912393,0.4587906481660344,-0.9326524517120874,0.012715660720214544,0.016167835541346612,0.01671469606237906,0.7607473490848915,4.902859279087612,-0.0013454711917902928,-0.0020129543846524323,0.0018101137279780133,-0.0023504071391887704,-0.0024428453764656632,-0.001049907847111342,-0.0023730559665905426,-3.6121747248612337,-3.2708294842277987,-0.34134524063343497,-0.34907710560572447,0.24200062131096614,55282.84304550536,0,0,0
2015-09-29,193.27999877929688,189.75999450683594,192.32000732421875,196525.0,194.04800109863282,199.68800048828126,207.2256002807617,212.86080001831056,221.09280014038086,196.6001325650551,200.55943125154954,31.210151310826035,36.085043138057316,38.51605558594933,-0.031784867870643496,-0.01980196150035629,-0.07835532986661509,-0.06456690607396687,-0.003830374410545212,-0.003188716083964277,-0.024062820857912393,0.2799954026569842,-0.9200978440651331,0.015116913666245216,0.017346939606839824,0.017059867844025283,0.8861096583195086,5.040002005440848,-0.005993754095640957,-0.0041626791035481725,-0.003942177573374117,-0.0032743668642932766,-0.002633646037573101,-0.001253706749787753,-0.0024400629769834037,-3.959298686494435,-3.408523324681126,-0.5507753618133089,-0.6077149234299661,0.13140726933830382,38993.04004003268,0,0,0
2015-09-30,190.0800018310547,184.63999938964844,189.9199981689453,413969.0,192.38399963378907,198.80800018310546,206.50240020751954,212.45759994506835,220.4840001678467,194.93241901763676,199.46317667786707,25.236155150575385,32.44409918537204,35.811856934642734,-0.022727311040634524,-0.04286895736667018,-0.07930214331690966,-0.08654605650419012,-0.008540856898808458,-0.004364452616437048,-0.0267825451039016,0.3994163621518487,-1.006864404017303,0.015221090944712997,0.017852774914342225,0.016960362492193015,0.8974508034082044,4.925715855189732,-0.008482769190740536,-0.005465983658018536,-0.008575205389505403,-0.0044068762420576,-0.0034899166524905434,-0.0018941959872720293,-0.0027535947445942455,-4.530757660230307,-3.6329701917909625,-0.8977874684393448,0.33619939516160857,0.418452935694315,84042.40361608403,0,0,0
2015-10-01,184.32000732421875,177.9199981689453,182.8800048828125,481919.0,188.83200073242188,197.77600021362304,205.6320001220703,212.01919998168944,219.8560001373291,192.43820089503157,197.9266451625216,18.502691452284665,27.56330494076805,31.96239319263951,-0.03789832845776564,-0.090390853486499,-0.11066881344619994,-0.10353129678199213,-0.018593723202317024,-0.005275891465565824,-0.0267825451039016,0.199004196330308,-0.9200103788048772,0.017761526920560867,0.01909721698249386,0.017630008627186257,1.0074599108914672,5.200001307896206,-0.012795296622156616,-0.007703334224075653,-0.01846306817681609,-0.0051909378321391975,-0.004214963528629934,-0.0020634703747584027,-0.002848279376460483,-5.488444267490024,-4.004065006930775,-1.4843792605592494,0.6342499355352575,0.4846225535880708,92676.70745932423,0,1,0
2015-10-02,181.1199951171875,177.75999450683594,178.39999389648438,296638.0,186.27200012207032,196.5279998779297,204.9088000488281,211.53279998779297,219.27600006103515,190.59847702310967,196.63430075993028,24.38702795106829,30.382948154618674,33.834038218233644,0.009847775821478999,-0.06622518177048375,-0.08515816684768174,-0.1214953583394065,-0.013366842083393605,-0.006308382743823842,-0.029776021607150982,-0.004933293867925041,-1.1083028073284533,0.01876820371758413,0.01755747252764544,0.01747396424984808,1.074066734327175,4.994286673409598,-0.009560076239360615,-0.006529410941766511,-0.013557027412843592,-0.0063101707706969545,-0.003516962694584902,-0.002294131823620149,-0.0026380907318046543,-6.035823736820618,-4.410416752908743,-1.6254069839118745,-0.05222239211161582,0.2749301025163094,59395.46914264041,0,1,0
2015-10-05,183.1999969482422,179.67999267578125,180.8000030517578,1094813.0,183.2,195.54400024414062,204.25600006103517,211.02560012817383,218.67680015563965,189.11563543707237,195.47324194170338,26.085164094183796,31.1698826608541,34.35249071273418,0.002659635403874816,-0.07823960899199034,-0.0699012696103205,-0.09808608819601394,-0.015980619228737968,-0.005007175945710618,-0.03188459027501539,-0.19266634461421867,-0.9319151140936103,0.018992217599169373,0.017187332240843213,0.017427932220856906,1.0897573710115998,5.017144339425223,-0.0077799235817477275,-0.005904660650455029,-0.016492012326367655,-0.005006918273224525,-0.003185807479412217,-0.002397736235933201,-0.002732628765704903,-6.357606504631008,-4.799854703253196,-1.5577518013778118,3.138703749648197,0.7999378689033861,218214.37174865586,0,1,0
2015-10-06,182.8800048828125,179.67999267578125,180.0,466713.0,181.56799926757813,194.42399978637695,203.61600006103515,210.47040008544923,218.08720016479492,188.00861431889896,194.46929795853612,29.765517816888206,32.80577891718549,35.41780976206297,0.005304992371027328,-0.042929311781899515,-0.061881188703113876,-0.10963199076108432,-0.008562647180403804,-0.005658993698013759,-0.0365928922753202,-0.23813232653778296,-0.799605629202301,0.019372257184172192,0.01648823080437835,0.01745699510420558,1.1097131590250147,4.880001613071987,-0.005853673154072814,-0.005135966300015005,-0.008908300941167346,-0.005727613510848273,-0.003133322887987511,-0.002630960615145228,-0.0026962164730098825,-6.460683639637153,-5.132020490529988,-1.3286631491071654,0.5384079327102355,0.4725069897483691,95637.87822320036,0,1,0
