,entry_date,exit_date,entry_price,exit_price,direction,return,bars_held
83,2019-09-06,2019-09-11,51.30121994018555,53.78617477416992,1.0,0.04843851348723672,5
84,2019-09-24,2019-09-25,52.36448669433594,53.170345306396484,1.0,0.015389411086268004,1
85,2019-09-27,2019-09-30,52.63871383666992,53.877586364746094,1.0,0.023535387508141034,3
86,2019-10-08,2019-10-10,53.98101806640625,55.349796295166016,1.0,0.025356658280803912,2
87,2019-10-21,2019-10-29,57.85639953613281,58.525142669677734,1.0,0.011558671796147193,8
88,2019-10-30,2019-11-11,58.51793670654297,63.263458251953125,1.0,0.08109516179984441,12
89,2019-11-14,2019-11-18,63.369632720947266,64.44571685791016,1.0,0.016981069492725397,4
90,2019-11-19,2019-11-20,64.25027465820312,63.502315521240234,1.0,-0.011641337580918735,1
91,2019-11-25,2019-11-26,64.26959991455078,63.767730712890625,1.0,-0.007808811667217675,1
92,2019-12-02,2019-12-06,63.73635482788086,65.3167495727539,1.0,0.02479581314527448,4
93,2019-12-09,2019-12-20,64.40229797363281,67.42311096191406,1.0,0.04690536026397711,11
94,2019-12-23,2019-12-30,68.52333068847656,70.33776092529297,1.0,0.026479014061141302,7
95,2020-01-03,2020-01-06,71.76373291015625,72.33555603027344,1.0,0.007968135114056493,3
96,2020-01-07,2020-01-13,71.995361328125,76.47591400146484,1.0,0.06223390772246205,6
97,2020-01-15,2020-01-17,75.11991119384766,76.90296936035156,1.0,0.023736159137658024,2
98,2020-01-21,2020-01-27,76.3818130493164,74.54328155517578,1.0,-0.02407027826052735,6
99,2020-02-04,2020-02-06,76.93192291259766,78.46648406982422,1.0,0.01994700118142084,2
100,2020-02-07,2020-02-12,77.39989471435547,79.13397979736328,1.0,0.02240423051487936,5
101,2020-02-13,2020-02-18,78.57046508789062,77.1507797241211,1.0,-0.01806894438236353,5
102,2020-02-19,2020-02-20,78.26814270019531,77.46520233154297,1.0,-0.010258840199236516,1
103,2020-02-27,2020-03-02,66.1513671875,72.2677993774414,1.0,0.09246116066815276,4
104,2020-04-13,2020-04-14,66.0860595703125,69.42362213134766,1.0,0.05050327682927055,1
105,2020-04-15,2020-04-16,68.78996276855469,69.33653259277344,1.0,0.007945488007570174,1
106,2020-04-20,2020-04-21,66.9760971069336,64.90581512451172,1.0,-0.030910758790803777,1
107,2020-04-22,2020-04-30,66.77533721923828,71.0561294555664,1.0,0.06410738477101706,8
